Name,Type,Easting,Northing
Aberdeen Anderson Dr,Roadside,392504.39,804189.75
Aberdeen Errol Place,Urban background,394395.8,807391.98
Aberdeen Errol Park,Urban background,394366,807396.5
Aberdeen King Street,Roadside,394333,808770
Aberdeen Market Street,Roadside,394417.27,805892.34
Aberdeen Market Street 2,Roadside,394551.62,805673.18
Aberdeen Union Street Roadside,Roadside,393655.92,805967.6
Aberdeen Wellington Road,Roadside,394410.99,804813.2
Alloa,Roadside,288684.05,693059.02
Alloa A907,Roadside,288689,693068
Angus Forfar,Roadside,345914,750613
Angus Forfar Glamis Road,Roadside,345249,750386
Auchencorth Moss,Rural,322165.87,656128.11
Bush Estate,Rural,324629.04,663890.62
Dumfries,Roadside,297019.53,576254.03
Dundee Broughty Ferry Road,Urban industrial,341970.73,730976.51
Dundee Lochee Road,Kerbside,338859.24,730774.79
Dundee Mains Loan,Urban background,340970.55,731892.31
Dundee Meadowside,Roadside,340243.04,730658.37
Dundee Seagate,Kerbside,340486.33,730446.2
Dundee Union Street,Roadside,340234.85,730091.73
Dundee Whitehall Street,Roadside,340277.72,730154.91
E Ayrshire Kilmarnock St Marnock St,Roadside,242742,637705
East Dunbartonshire Bearsden,Roadside,254271.48,672072.75
East Dunbartonshire Bishopbriggs,Roadside,260995.7,670132.48
East Dunbartonshire Kirkintilloch,Roadside,265683.75,673520.86
East Dunbartonshire Milngavie ,Roadside,255325.27,674115.52
East Lothian Musselburgh N High St,Roadside,333941,672836
Edinburgh Currie,Suburban,317575.4,667874.3
Edinburgh Glasgow Road,Roadside,313101,672651
Edinburgh Gorgie Road,Roadside,323121,672314
Edinburgh Nicolson Street,Roadside,326150,673046
Edinburgh Queen Street,Roadside,324825.48,674079.54
Edinburgh Queensferry Road,Roadside,318734.92,674931.5
Edinburgh Salamander St,Roadside,327613.24,676342.55
Edinburgh St John's Road,Kerbside,320079.88,672902.79
Edinburgh St Leonards,Urban background,326264.3,673136.49
Edinburgh Tower Street,Roadside,327459.8,676530.8
Eskdalemuir,Rural,323550.97,603021.74
Falkirk Bankock,Roadside,277247,679027
Falkirk Bo'ness,Urban industrial,299815,681483.6
Falkirk Graham's road,Roadside,288822,680241
Falkirk Grangemouth MC,Urban background,292818.05,682006.92
Falkirk Grangemouth Zetland Park,Urban industrial,292969,681106
Falkirk Haggs,Roadside,278977,679271
Falkirk Hope St,Roadside,288688.39,680219.33
Falkirk Main St Bainsford,Roadside,288563.7,681516.1
Falkirk West Bridge Street,Roadside,288457,680064
Fife Cupar,Roadside,337369.34,714578.52
Fife Dunfermline,Roadside,309924.49,687724.72
Fife Kirkcaldy,Roadside,329143.57,692986.35
Fife Rosyth,Roadside,311770.51,683501.59
Fort William,Suburban,210849.73,774418.72
Glasgow Abercromby Street,Roadside,260421.31,664179.65
Glasgow Anderston,Urban background,257940.81,665497.95
Glasgow Broomhill,Roadside,255030.58,667194.37
Glasgow Burgher St.,Roadside,262549.48,664168.91
Glasgow Byres Road,Roadside,256526.91,666936.95
Glasgow Dumbarton Road,Roadside,255030,666608
Glasgow Great Western Road,Roadside,258007,666651
Glasgow High Street,Roadside,260014.1,665348.9
Glasgow Kerbside,Kerbside,258713.92,665194.51
Glasgow Nithsdale Road,Roadside,257886.88,662669.31
Glasgow Townhead,Urban background,259692.6,665899.13
Glasgow Waulkmillglen Reservoir,Rural,252455.25,658157.36
Grangemouth,Urban industrial,293829.88,681020.65
Grangemouth Moray,Urban background,293436.55,681344.72
Inverclyde Greenock A8,Roadside,229331.5,675714.7
Inverness,Roadside,265708.85,845668.85
Inverness Academy Street,Roadside,266653,845439
Inverness Academy Street 1st Floor,Roadside,266653.2,845439.2
Lerwick,Rural,445350.77,1139689.93
N Lanarkshire Airdrie Kenilworth Dr,Roadside,277385.6,665831.3
N Lanarkshire Chapelhall,Roadside,278168.64,663115.23
N Lanarkshire Coatbridge Sunnyside Rd,Roadside,273054,665234.7
N Lanarkshire Coatbridge Whifflet,Urban background,273674.95,663927.14
N Lanarkshire Whifflet A725,Roadside,273646.2,663867.6
N Lanarkshire Croy,Roadside,272770.4,675740.3
N Lanarkshire Kirkshaws,Roadside,272522.8,663029.8
N Lanarkshire Moodiesburn,Roadside,269929,670386
N Lanarkshire Motherwell,Roadside,275540.87,656789.09
N Lanarkshire Motherwell Civic Centre,Urban background,275813.6,656235.48
N Lanarkshire Motherwell Adele St.,Roadside,275642.3,656147.7
N Lanarkshire Ravenscraig Plantation Road,Roadside,277307.4,657612.8
N Lanarkshire Shawhead Coatbridge,Roadside,273411,662997
N Lanarkshire Uddingston New Edinburgh Rd,Roadside,269145.6,661499.7
North Ayrshire Irvine High St,Kerbside,232142,638892
Paisley Gordon Street,Roadside,248316.83,663615.52
Paisley St James Street,Roadside,248174.75,664319.96
Peebles,Suburban,324814.65,641087.92
Perth Atholl Street,Roadside,311577.28,723931.02
Perth Bridgend,Roadside,312254,724159
Perth Crieff,Roadside,286363,721614
Perth High Street,Roadside,311680.93,723624.9
Perth Muirton,Urban background,310659.25,725658.62
Renfrew Cockels Loan,Roadside,250464,665933
Renfrew Inchinnan Road,Roadside,250567,667558.1
Renfrew Johnston,Roadside,242983.8,663178.1
South Ayrshire Ayr Harbour,Roadside,233617.25,622746.05
South Ayrshire Ayr High St,Roadside,233720.43,622114.8
South Lanarkshire Blantyre,Roadside,268916,657605
South Lanarkshire Cambuslang,Kerbside,264319,660519
South Lanarkshire East Kilbride,Roadside,264384.55,655669.44
South Lanarkshire Hamilton,Roadside,272298,655289
South Lanarkshire Lanark,Kerbside,288427.04,643700.54
South Lanarkshire Raith Interchange 2,Roadside,271063.1,658087
South Lanarkshire Rutherglen,Roadside,261113.75,661690.5
South Lanarkshire Uddingston,Roadside,269657,660305.7
Stirling Craig's Roundabout,Roadside,279955,693012
Strath Vaich,Rural,234787.31,875022.85
West Dunbartonshire Clydebank,Roadside,249721.28,672046.49
West Dunbartonshire Glasgow Road,Roadside,240234.67,675198.79
West Lothian Broxburn,Roadside,308314.04,672230.25
West Lothian Linlithgow High Street 2,Roadside,300419.7,677120.9
West Lothian Newton,Roadside,309258,677728.99